ticker,name,asset_class,country,exchange,currency
AAPL34,AAPL34 BDR,bdr,BR,B3,BRL
MSFT34,MSFT34 BDR,bdr,BR,B3,BRL
GOGL34,GOGL34 BDR,bdr,BR,B3,BRL
GOGL35,GOGL35 BDR,bdr,BR,B3,BRL
AMZO34,AMZO34 BDR,bdr,BR,B3,BRL
TSLA34,TSLA34 BDR,bdr,BR,B3,BRL
NVDC34,NVDC34 BDR,bdr,BR,B3,BRL
META34,META34 BDR,bdr,BR,B3,BRL
NFLX34,NFLX34 BDR,bdr,BR,B3,BRL
DISB34,DISB34 BDR,bdr,BR,B3,BRL
COCA34,COCA34 BDR,bdr,BR,B3,BRL
MCDC34,MCDC34 BDR,bdr,BR,B3,BRL
PFIZ34,PFIZ34 BDR,bdr,BR,B3,BRL
JNJB34,JNJB34 BDR,bdr,BR,B3,BRL
VISA34,VISA34 BDR,bdr,BR,B3,BRL
MSBR34,MSBR34 BDR,bdr,BR,B3,BRL
BERK34,BERK34 BDR,bdr,BR,B3,BRL
HOME34,HOME34 BDR,bdr,BR,B3,BRL
BOAC34,BOAC34 BDR,bdr,BR,B3,BRL
WALM34,WALM34 BDR,bdr,BR,B3,BRL
NIKE34,NIKE34 BDR,bdr,BR,B3,BRL
PEPB34,PEPB34 BDR,bdr,BR,B3,BRL
ORCL34,ORCL34 BDR,bdr,BR,B3,BRL
INTC34,INTC34 BDR,bdr,BR,B3,BRL
CSCO34,CSCO34 BDR,bdr,BR,B3,BRL
QCOM34,QCOM34 BDR,bdr,BR,B3,BRL
ADBE34,ADBE34 BDR,bdr,BR,B3,BRL
PYPL34,PYPL34 BDR,bdr,BR,B3,BRL
UBER34,UBER34 BDR,bdr,BR,B3,BRL
AIRB34,AIRB34 BDR,bdr,BR,B3,BRL
