ticker,name,asset_class,country,exchange,currency
MXRF11,MXRF11 Fundo Imobiliário,fii,BR,B3,BRL
HGLG11,HGLG11 Fundo Imobiliário,fii,BR,B3,BRL
KNRI11,KNRI11 Fundo Imobiliário,fii,BR,B3,BRL
XPLG11,XPLG11 Fundo Imobiliário,fii,BR,B3,BRL
VISC11,VISC11 Fundo Imobiliário,fii,BR,B3,BRL
XPML11,XPML11 Fundo Imobiliário,fii,BR,B3,BRL
BCFF11,BCFF11 Fundo Imobiliário,fii,BR,B3,BRL
KNCR11,KNCR11 Fundo Imobiliário,fii,BR,B3,BRL
HGRE11,HGRE11 Fundo Imobiliário,fii,BR,B3,BRL
HCTR11,HCTR11 Fundo Imobiliário,fii,BR,B3,BRL
BTLG11,BTLG11 Fundo Imobiliário,fii,BR,B3,BRL
BRCR11,BRCR11 Fundo Imobiliário,fii,BR,B3,BRL
RBRF11,RBRF11 Fundo Imobiliário,fii,BR,B3,BRL
RBRR11,RBRR11 Fundo Imobiliário,fii,BR,B3,BRL
RBRP11,RBRP11 Fundo Imobiliário,fii,BR,B3,BRL
RBRL11,RBRL11 Fundo Imobiliário,fii,BR,B3,BRL
RBVA11,RBVA11 Fundo Imobiliário,fii,BR,B3,BRL
VILG11,VILG11 Fundo Imobiliário,fii,BR,B3,BRL
VINO11,VINO11 Fundo Imobiliário,fii,BR,B3,BRL
VRTA11,VRTA11 Fundo Imobiliário,fii,BR,B3,BRL
VGIR11,VGIR11 Fundo Imobiliário,fii,BR,B3,BRL
VGIP11,VGIP11 Fundo Imobiliário,fii,BR,B3,BRL
VGHF11,VGHF11 Fundo Imobiliário,fii,BR,B3,BRL
CPTS11,CPTS11 Fundo Imobiliário,fii,BR,B3,BRL
KNSC11,KNSC11 Fundo Imobiliário,fii,BR,B3,BRL
KNUQ11,KNUQ11 Fundo Imobiliário,fii,BR,B3,BRL
KNHY11,KNHY11 Fundo Imobiliário,fii,BR,B3,BRL
KNIP11,KNIP11 Fundo Imobiliário,fii,BR,B3,BRL
KFOF11,KFOF11 Fundo Imobiliário,fii,BR,B3,BRL
HFOF11,HFOF11 Fundo Imobiliário,fii,BR,B3,BRL
HGBS11,HGBS11 Fundo Imobiliário,fii,BR,B3,BRL
HSML11,HSML11 Fundo Imobiliário,fii,BR,B3,BRL
HSLG11,HSLG11 Fundo Imobiliário,fii,BR,B3,BRL
HSAF11,HSAF11 Fundo Imobiliário,fii,BR,B3,BRL
HGPO11,HGPO11 Fundo Imobiliário,fii,BR,B3,BRL
HGRU11,HGRU11 Fundo Imobiliário,fii,BR,B3,BRL
MALL11,MALL11 Fundo Imobiliário,fii,BR,B3,BRL
TRXF11,TRXF11 Fundo Imobiliário,fii,BR,B3,BRL
PVBI11,PVBI11 Fundo Imobiliário,fii,BR,B3,BRL
RCRB11,RCRB11 Fundo Imobiliário,fii,BR,B3,BRL
RECT11,RECT11 Fundo Imobiliário,fii,BR,B3,BRL
RECR11,RECR11 Fundo Imobiliário,fii,BR,B3,BRL
IRDM11,IRDM11 Fundo Imobiliário,fii,BR,B3,BRL
URPR11,URPR11 Fundo Imobiliário,fii,BR,B3,BRL
MCCI11,MCCI11 Fundo Imobiliário,fii,BR,B3,BRL
MCHF11,MCHF11 Fundo Imobiliário,fii,BR,B3,BRL
MCHY11,MCHY11 Fundo Imobiliário,fii,BR,B3,BRL
ALZR11,ALZR11 Fundo Imobiliário,fii,BR,B3,BRL
AIEC11,AIEC11 Fundo Imobiliário,fii,BR,B3,BRL
GGRC11,GGRC11 Fundo Imobiliário,fii,BR,B3,BRL
LVBI11,LVBI11 Fundo Imobiliário,fii,BR,B3,BRL
PATL11,PATL11 Fundo Imobiliário,fii,BR,B3,BRL
RZTR11,RZTR11 Fundo Imobiliário,fii,BR,B3,BRL
SNCI11,SNCI11 Fundo Imobiliário,fii,BR,B3,BRL
SNFF11,SNFF11 Fundo Imobiliário,fii,BR,B3,BRL
SNLG11,SNLG11 Fundo Imobiliário,fii,BR,B3,BRL
TEPP11,TEPP11 Fundo Imobiliário,fii,BR,B3,BRL
TGAR11,TGAR11 Fundo Imobiliário,fii,BR,B3,BRL
DEVA11,DEVA11 Fundo Imobiliário,fii,BR,B3,BRL
BARI11,BARI11 Fundo Imobiliário,fii,BR,B3,BRL
OUJP11,OUJP11 Fundo Imobiliário,fii,BR,B3,BRL
JSRE11,JSRE11 Fundo Imobiliário,fii,BR,B3,BRL
EDGA11,EDGA11 Fundo Imobiliário,fii,BR,B3,BRL
FIIB11,FIIB11 Fundo Imobiliário,fii,BR,B3,BRL
FEXC11,FEXC11 Fundo Imobiliário,fii,BR,B3,BRL
FCFL11,FCFL11 Fundo Imobiliário,fii,BR,B3,BRL
SDIL11,SDIL11 Fundo Imobiliário,fii,BR,B3,BRL
SARE11,SARE11 Fundo Imobiliário,fii,BR,B3,BRL
RNGO11,RNGO11 Fundo Imobiliário,fii,BR,B3,BRL
RBFF11,RBFF11 Fundo Imobiliário,fii,BR,B3,BRL
RBED11,RBED11 Fundo Imobiliário,fii,BR,B3,BRL
RBCO11,RBCO11 Fundo Imobiliário,fii,BR,B3,BRL
QAGR11,QAGR11 Fundo Imobiliário,fii,BR,B3,BRL
PLCR11,PLCR11 Fundo Imobiliário,fii,BR,B3,BRL
PORD11,PORD11 Fundo Imobiliário,fii,BR,B3,BRL
OUFF11,OUFF11 Fundo Imobiliário,fii,BR,B3,BRL
NCHB11,NCHB11 Fundo Imobiliário,fii,BR,B3,BRL
KCRE11,KCRE11 Fundo Imobiliário,fii,BR,B3,BRL
HREC11,HREC11 Fundo Imobiliário,fii,BR,B3,BRL
HOSI11,HOSI11 Fundo Imobiliário,fii,BR,B3,BRL
GARE11,GARE11 Fundo Imobiliário,fii,BR,B3,BRL
GALG11,GALG11 Fundo Imobiliário,fii,BR,B3,BRL
EURO11,EURO11 Fundo Imobiliário,fii,BR,B3,BRL
CXRI11,CXRI11 Fundo Imobiliário,fii,BR,B3,BRL
