ticker,name,asset_class,country,exchange,currency
BTC-USD,BTC,crypto,GLOBAL,CRYPTO,USD
ETH-USD,ETH,crypto,GLOBAL,CRYPTO,USD
SOL-USD,SOL,crypto,GLOBAL,CRYPTO,USD
BNB-USD,BNB,crypto,GLOBAL,CRYPTO,USD
XRP-USD,XRP,crypto,GLOBAL,CRYPTO,USD
ADA-USD,ADA,crypto,GLOBAL,CRYPTO,USD
DOGE-USD,DOGE,crypto,GLOBAL,CRYPTO,USD
AVAX-USD,AVAX,crypto,GLOBAL,CRYPTO,USD
LINK-USD,LINK,crypto,GLOBAL,CRYPTO,USD
DOT-USD,DOT,crypto,GLOBAL,CRYPTO,USD
MATIC-USD,MATIC,crypto,GLOBAL,CRYPTO,USD
LTC-USD,LTC,crypto,GLOBAL,CRYPTO,USD
